Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40492868.7,4084378.887,0,0.53745,0.558197,0.521098,0.569794,0.563421,0.562509,0.558388,0.544508,0.571422,0.576421,0.543535,0.562575,0.541178,0.578932,0.568972,0.577694,0.554161,0.58118,0.583048,0.565854,0.543211,0.575755,0.572818,0.561852,0.569084,0.571272,0.570143,0.574721,0.569426,0.574184,0.554871,0.567386,0.563821,0.572527,0.570099,0.559229,0.570655,0.555605,0.564166,101,50
40495542.94,4084377.066,0,0.505928,0.528567,0.485686,0.540457,0.532862,0.533155,0.528485,0.516974,0.541794,0.544883,0.512,0.533366,0.507569,0.548146,0.538352,0.547926,0.52447,0.550937,0.551325,0.534108,0.513535,0.545913,0.542034,0.529889,0.53946,0.540417,0.53991,0.543029,0.539557,0.544282,0.522243,0.537099,0.532822,0.543519,0.539001,0.528746,0.54061,0.525019,0.53392,101,51
40497325.76,4084376.319,0,0.471236,0.495423,0.44761,0.507192,0.499087,0.500097,0.495282,0.485725,0.508445,0.510143,0.477324,0.500318,0.467425,0.513849,0.504354,0.514465,0.491638,0.516894,0.516134,0.499031,0.480552,0.512474,0.507676,0.495099,0.506027,0.506058,0.506119,0.507981,0.506061,0.510667,0.48681,0.503239,0.498524,0.510899,0.504558,0.494749,0.506796,0.491236,0.500171,101,52
40499108.59,4084375.945,0,0.461463,0.486338,0.431859,0.498063,0.489313,0.491096,0.486043,0.478557,0.49948,0.499826,0.46736,0.490838,0.469776,0.503737,0.494067,0.503694,0.483065,0.507498,0.505384,0.486722,0.47198,0.502533,0.496976,0.484275,0.496425,0.495695,0.496247,0.496623,0.497723,0.501039,0.47606,0.494073,0.488077,0.498522,0.493828,0.484827,0.495876,0.481542,0.490538,101,53
40487523.48,4086604.607,0,0.479643,0.502094,0.455196,0.517406,0.511045,0.51019,0.505645,0.49816,0.518377,0.522541,0.487502,0.511863,0.488057,0.525252,0.515271,0.523831,0.501758,0.527348,0.527475,0.511766,0.489679,0.522635,0.518833,0.506738,0.516364,0.51727,0.515832,0.519261,0.514921,0.52062,0.499054,0.513423,0.509641,0.524758,0.515841,0.505075,0.519493,0.501644,0.510553,101,54
40489305.84,4086602.178,0,0.46135,0.483326,0.4389,0.500299,0.494559,0.492977,0.488926,0.480143,0.501163,0.506537,0.470144,0.495112,0.468726,0.509094,0.498606,0.50723,0.484787,0.510063,0.51127,0.496377,0.47131,0.505723,0.50218,0.490615,0.499288,0.501176,0.498781,0.503686,0.49696,0.503895,0.483269,0.495966,0.4933,0.510218,0.499857,0.488055,0.504226,0.484523,0.493323,101,55
40491088.2,4086600.123,0,0.480542,0.505315,0.454031,0.520224,0.514332,0.512777,0.507463,0.501755,0.521042,0.526126,0.489583,0.514987,0.47348,0.528006,0.51826,0.525465,0.504259,0.530533,0.530134,0.514738,0.49144,0.524432,0.521252,0.509798,0.518728,0.520694,0.517427,0.522253,0.516583,0.523149,0.502503,0.516282,0.51249,0.528668,0.518488,0.50795,0.52338,0.504342,0.512904,101,56
40492870.56,4086598.442,0,0.480984,0.50544,0.453869,0.521054,0.515395,0.513628,0.507403,0.503475,0.521864,0.5268,0.490331,0.516284,0.496494,0.528204,0.518778,0.525224,0.504679,0.531285,0.530399,0.516152,0.492272,0.524431,0.521443,0.510679,0.519311,0.521395,0.517267,0.522633,0.516833,0.523425,0.503928,0.517051,0.513224,0.530666,0.518866,0.508869,0.524767,0.505133,0.513372,101,57
40495544.1,4086596.62,0,0.47682,0.502639,0.448787,0.517764,0.512268,0.510417,0.503163,0.500797,0.518867,0.523892,0.486686,0.513698,0.487296,0.524494,0.51548,0.520954,0.501189,0.528213,0.526639,0.512764,0.488593,0.520711,0.517866,0.506883,0.515916,0.518076,0.513482,0.518962,0.512908,0.519907,0.500511,0.51363,0.509786,0.527212,0.515169,0.505838,0.522067,0.501671,0.509832,101,58
40497326.46,4086595.873,0,0.471678,0.499703,0.440006,0.513787,0.507912,0.506621,0.497732,0.49966,0.515022,0.519147,0.482,0.510288,0.466956,0.518051,0.510491,0.513491,0.497881,0.524134,0.519815,0.505033,0.485764,0.514582,0.511903,0.500329,0.510751,0.511814,0.507955,0.511562,0.509129,0.514837,0.495255,0.508979,0.504059,0.519149,0.508394,0.501535,0.516233,0.496819,0.50493,101,59
40499108.82,4086595.499,0,0.486584,0.515927,0.453415,0.529314,0.523047,0.521971,0.511798,0.516263,0.530579,0.534344,0.497037,0.526154,0.472274,0.532679,0.526032,0.527847,0.512263,0.539893,0.534485,0.519981,0.501053,0.52953,0.527015,0.514797,0.526016,0.526881,0.522701,0.526367,0.523886,0.529858,0.510896,0.524282,0.519182,0.534028,0.523138,0.517084,0.531879,0.511765,0.519985,101,60
