Coor_X,Coor_Y,Z,Ag,As_,Au,B,Ba,Be,Bi,Cd,Co,Cr,Cu,F,Hg,La,Li,Mn,Mo,Nb,Ni,P,Pb,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Al2O3,CaO,Fe2O3,K2O,MgO,Na2O,SiO2,row,col
40499108.59,4084375.945,0,36.8393,8.29566,1.93906,34.9595,794.561,1.78139,0.288158,0.0529709,12.3058,62.4405,19.2892,346.999,11.2795,24.9325,27.4225,873.554,0.259765,14.1875,27.2617,345.467,23.0081,0.508797,2.42705,225.257,10.2353,4189.64,2.05054,80.206,1.49974,23.6995,28.0332,306.341,12.3375,2.26501,4.05928,2.11032,1.26042,1.77662,70.5009,101,53
40487523.48,4086604.607,0,38.0146,7.68946,2.39214,36.2895,875.811,1.80799,0.319733,0.0656045,12.8856,69.8492,20.4729,383.213,11.116,25.8541,28.9134,881.521,0.287272,14.6822,29.0724,396.494,23.6746,0.630148,2.61836,233.867,10.7374,4332.23,2.08028,83.9355,1.53346,24.0112,31.3085,312.562,12.6395,2.92532,4.2672,2.18753,1.43897,1.78477,70.3586,101,54
40489305.84,4086602.178,0,34.6149,7.08581,1.97536,35.3329,855.689,1.77264,0.290403,0.0636623,12.2711,68.1328,19.6077,377.431,10.5507,24.9689,28.4643,850.637,0.267439,14.3504,27.409,381.061,22.4529,0.5144,2.51504,227.074,10.1857,4237.78,1.96844,82.087,1.42987,23.489,31.0011,298.687,12.5359,2.68773,4.1399,2.12763,1.42827,1.72388,69.2689,101,55
40491088.2,4086600.123,0,35.2691,7.70842,2.2486,35.872,896.241,1.8161,0.311247,0.0739565,12.4921,71.2548,19.95,396.458,10.9905,25.5975,29.1439,830.005,0.284492,14.8584,27.9022,392.09,22.8409,0.595892,2.5602,240.915,10.4354,4402.51,1.94173,83.9438,1.43877,23.439,32.1196,308.73,12.7256,3.19421,4.21854,2.19371,1.48256,1.78756,69.5938,101,56
40492870.56,4086598.442,0,34.5528,7.34751,2.10717,36.2708,929.468,1.83082,0.311155,0.0757183,12.6038,72.6108,20.139,410.784,11.0285,25.7117,29.2417,824.97,0.285592,15.1395,28.0272,413.644,23.014,0.544277,2.55361,248.49,10.4913,4476.75,1.88828,85.4429,1.38134,23.2464,33.8656,314.148,12.9337,4.21342,4.25488,2.21842,1.57415,1.8106,69.1892,101,57
40495544.1,4086596.62,0,31.8331,6.81542,1.53128,34.9849,931.092,1.79971,0.272183,0.0698326,12.2978,72.0655,19.5695,413.097,10.1334,24.3194,28.9144,767.82,0.271126,15.0089,27.0885,408.163,22.0728,0.475825,2.44403,247.764,9.97479,4436.63,1.79093,83.7166,1.28193,22.5717,33.5155,306.108,12.9709,3.50256,4.17301,2.22274,1.56385,1.80597,68.7423,101,58
40497326.46,4086595.873,0,31.0186,6.61858,1.47963,35.3006,976.058,1.8154,0.270513,0.0695849,12.4613,76.7927,19.8058,438.965,9.67193,24.1117,29.3012,732.036,0.269938,15.2563,27.274,424.712,22.2422,0.450188,2.46065,255.106,9.86567,4477.46,1.77036,85.3621,1.2607,22.4021,35.6866,308.409,13.2087,3.50805,4.21625,2.25247,1.64575,1.82798,68.678,101,59
40499108.82,4086595.499,0,31.2082,6.6408,1.42701,35.3218,1002.29,1.83547,0.274841,0.0753454,12.7194,78.6385,20.0968,462.82,9.79802,24.055,30.1135,716.468,0.268965,15.4849,27.5827,441.956,22.4467,0.453434,2.49233,260.99,9.99393,4540.95,1.75322,86.4269,1.22343,22.4102,37.3028,306.32,13.4247,3.46384,4.28582,2.31036,1.72537,1.85797,68.762,101,60
40487526.74,4088824.17,0,29.7669,6.57592,1.32948,34.2447,961.715,1.81394,0.256196,0.0628841,12.1109,72.2081,19.0073,421.41,9.32719,22.882,29.1643,678.763,0.245537,15.0812,25.9247,420.929,21.4886,0.417857,2.31306,258.523,9.46663,4465.92,1.68197,83.5949,1.17769,21.9098,35.5012,300.013,13.4006,3.06639,4.0964,2.30008,1.63146,1.86349,68.3086,101,61
40489308.63,4088821.741,0,30.3852,7.09976,1.46501,35.0602,959.293,1.84451,0.263158,0.0600845,12.5004,72.6947,19.2735,414.752,9.81694,23.3345,29.5669,692.37,0.24939,15.2108,26.7029,435.657,22.1085,0.423591,2.31012,262.461,9.59305,4528.91,1.71434,85.5176,1.22329,22.0825,36.0809,305.283,13.5241,3.19495,4.17109,2.31995,1.66647,1.893,68.5581,101,62
